seed,stem,z_m,m_chi_GeV,SIC_T_raw,SICm_T_raw,epsB_T_raw,AUC_T_raw,SIC_T_I,SICm_T_I,epsB_T_I,AUC_T_I,SIC_T_S,SICm_T_S,epsB_T_S,AUC_T_S,SIC_Typ_I,SICm_Typ_I,epsB_Typ_I,AUC_Typ_I,SIC_Typ_II,SICm_Typ_II,epsB_Typ_II,AUC_Typ_II,SIC_Typ_tot,SICm_Typ_tot,epsB_Typ_tot,AUC_Typ_tot,SIC_V_I,SICm_V_I,epsB_V_I,AUC_V_I,SIC_V_II,SICm_V_II,epsB_V_II,AUC_V_II,SIC_M,SICm_M,epsB_M,AUC_M
002,eval_signal_neg_58_0.05GeV,0.66000,0.05000,0.00554,0.00635,0.00073,0.35500,0.00474,0.00474,0.00100,0.59445,0.00542,0.00474,0.00077,0.34441,0.00484,0.00474,0.00123,0.56898,0.02899,0.02582,0.00080,0.51993,0.02991,0.02625,0.00073,0.58635,0.03359,0.02955,0.00080,0.57825,0.00487,0.00459,0.00137,0.33806,0.00484,0.00474,0.00123,0.56898
002,eval_signal_neg_24_0.05GeV,1.00000,0.05000,0.00591,0.00577,0.00073,0.35013,0.00285,0.00285,0.00100,0.59410,0.00578,0.00506,0.00077,0.33964,0.00370,0.00285,0.00123,0.56892,0.02687,0.02364,0.00080,0.50213,0.02659,0.02372,0.00073,0.57093,0.02652,0.02333,0.00080,0.57667,0.00352,0.00276,0.00137,0.33591,0.00370,0.00285,0.00123,0.56892
002,eval_signal_neg_20_0.05GeV,1.04000,0.05000,0.05465,0.08025,0.00073,0.87117,0.00158,0.00158,0.00100,0.32034,0.05273,0.04649,0.00077,0.86850,0.00199,0.00221,0.00123,0.34530,0.03147,0.02769,0.00080,0.51667,0.02474,0.02150,0.00073,0.48971,0.00000,0.00000,0.00080,0.15712,0.07709,0.06369,0.00137,0.87049,0.00199,0.00221,0.00123,0.34530
002,eval_signal_neg_16_0.05GeV,1.08000,0.05000,1.01883,1.82933,0.00073,0.98550,0.06325,0.06325,0.00100,0.36493,0.85594,0.74946,0.00077,0.98476,0.06891,0.07526,0.00123,0.38544,0.05551,0.04915,0.00080,0.53691,0.04173,0.03605,0.00073,0.53112,0.00000,0.00000,0.00080,0.32218,1.94571,1.49817,0.00137,0.98425,0.06891,0.07526,0.00123,0.38544
002,eval_signal_neg_8_0.05GeV,1.16000,0.05000,1.27400,2.33711,0.00073,0.98398,7.00950,7.00950,0.00100,0.56666,0.68512,0.59988,0.00077,0.98174,6.91196,7.61635,0.00123,0.55553,0.10006,0.08928,0.00080,0.43560,0.26366,0.22705,0.00073,0.51666,0.00035,0.00062,0.00080,0.53365,2.04715,1.54930,0.00137,0.98252,6.91196,7.61635,0.00123,0.55553
002,eval_signal_zero_0.05GeV,1.24000,0.05000,0.92762,1.86398,0.00073,0.98392,23.30630,23.30788,0.00100,0.85560,0.35791,0.31907,0.00077,0.97884,21.53203,23.85464,0.00123,0.85787,0.29416,0.26380,0.00080,0.49554,1.15952,1.02616,0.00073,0.72584,0.00247,0.00311,0.00080,0.24465,0.82151,0.57869,0.00137,0.97878,21.53203,23.85464,0.00123,0.85787
002,eval_signal_neg_91_low,0.33000,0.00500,0.00517,0.00548,0.00073,0.35115,0.00443,0.00443,0.00100,0.59447,0.00470,0.00411,0.00077,0.34064,0.00484,0.00443,0.00123,0.56901,0.03076,0.02706,0.00080,0.50418,0.03102,0.02688,0.00073,0.57273,0.03500,0.03080,0.00080,0.57800,0.00379,0.00367,0.00137,0.33679,0.00484,0.00443,0.00123,0.56901
002,eval_signal_neg_58_low,0.66000,0.00500,0.00812,0.00664,0.00073,0.35146,0.00253,0.00253,0.00100,0.59359,0.00758,0.00664,0.00077,0.34094,0.00313,0.00253,0.00123,0.56829,0.02546,0.02240,0.00080,0.50101,0.02585,0.02245,0.00073,0.56958,0.03571,0.03142,0.00080,0.57629,0.00325,0.00337,0.00137,0.33763,0.00313,0.00253,0.00123,0.56829
002,eval_signal_neg_24_low,1.00000,0.00500,0.01034,0.00895,0.00073,0.34984,0.00443,0.00443,0.00100,0.59571,0.00939,0.00854,0.00077,0.33927,0.00513,0.00443,0.00123,0.56969,0.03182,0.02800,0.00080,0.49844,0.03139,0.02720,0.00073,0.56788,0.03288,0.02893,0.00080,0.58029,0.00433,0.00459,0.00137,0.33614,0.00513,0.00443,0.00123,0.56969
002,eval_signal_neg_20_low,1.04000,0.00500,0.05354,0.07794,0.00073,0.87151,0.00063,0.00063,0.00100,0.32015,0.05201,0.04554,0.00077,0.86884,0.00085,0.00095,0.00123,0.34506,0.03182,0.02800,0.00080,0.51023,0.02474,0.02182,0.00073,0.48418,0.00000,0.00000,0.00080,0.15786,0.07195,0.05971,0.00137,0.87094,0.00085,0.00095,0.00123,0.34506
002,eval_signal_neg_16_low,1.08000,0.00500,1.02178,1.80970,0.00073,0.98532,0.04902,0.04902,0.00100,0.36299,0.85197,0.74630,0.00077,0.98459,0.05410,0.05945,0.00123,0.38419,0.05480,0.04884,0.00080,0.53893,0.04136,0.03637,0.00073,0.53182,0.00000,0.00000,0.00080,0.31692,1.94734,1.49633,0.00137,0.98406,0.05410,0.05945,0.00123,0.38419
002,eval_signal_neg_8_low,1.16000,0.00500,1.27732,2.32528,0.00073,0.98403,7.03322,7.03322,0.00100,0.56512,0.68150,0.59735,0.00077,0.98181,6.95809,7.66188,0.00123,0.55468,0.09263,0.08213,0.00080,0.43804,0.26145,0.22515,0.00073,0.51857,0.00000,0.00000,0.00080,0.53233,2.05662,1.56798,0.00137,0.98258,6.95809,7.66188,0.00123,0.55468
002,eval_signal_zero_low,1.24000,0.00500,0.94091,1.87264,0.00073,0.98392,23.27942,23.28132,0.00100,0.85484,0.37452,0.33552,0.00077,0.97884,21.49558,23.80626,0.00123,0.85669,0.30865,0.27656,0.00080,0.49653,1.18759,1.05082,0.00073,0.72464,0.00389,0.00404,0.00080,0.24568,0.82800,0.59155,0.00137,0.97875,21.49558,23.80626,0.00123,0.85669
003,eval_signal_neg_91_5GeV,0.33000,5.00000,25.45418,25.45418,0.00107,0.98573,0.02184,0.01644,0.00057,0.49394,25.96195,25.96195,0.00103,0.98523,0.01309,0.01244,0.00093,0.48042,31.82033,28.35614,0.00090,0.99822,31.66733,30.04227,0.00090,0.99814,0.02078,0.02178,0.00083,0.59998,16.27960,14.97473,0.00093,0.96675,0.01309,0.01244,0.00093,0.48042
003,eval_signal_neg_58_5GeV,0.66000,5.00000,14.93086,14.93086,0.00107,0.97494,0.01302,0.01012,0.00057,0.49712,15.48273,15.48273,0.00103,0.97415,0.00687,0.00684,0.00093,0.48346,31.72767,28.27356,0.00090,0.99616,31.62933,30.00622,0.00090,0.99609,0.02252,0.02800,0.00083,0.59984,2.87655,3.02965,0.00093,0.93168,0.00687,0.00684,0.00093,0.48346
003,eval_signal_neg_24_5GeV,1.00000,5.00000,0.05266,0.05266,0.00107,0.75158,0.01596,0.01202,0.00057,0.49740,0.05413,0.05413,0.00103,0.74240,0.00982,0.00933,0.00093,0.48403,13.08333,11.65958,0.00090,0.97752,11.66633,11.06766,0.00090,0.97601,0.02598,0.02893,0.00083,0.59864,0.00720,0.00808,0.00093,0.59517,0.00982,0.00933,0.00093,0.48403
